molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL3897833,Fc1ccc(NC(=S)N2N=C(c3ccc(Br)cc3)CC2c2ccc(F)cc2)cc1,281.0,active
CHEMBL3981633,O=C(Nc1ccc(F)cc1)N1N=C(c2ccccc2)CC1c1ccc(F)cc1,25.0,active
CHEMBL3911637,CC1=NN(C(=O)Nc2ccc(F)cc2)C(c2ccc(F)cc2)C1,900.0,active
CHEMBL3892579,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)CC1c1ccc(F)cc1,33.0,active
CHEMBL3920575,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)C[C@@H]1c1ccc(F)cc1,320.0,active
CHEMBL3962647,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)C[C@H]1c1ccc(F)cc1,21.0,active
CHEMBL3893662,O=C(Nc1ccc(F)cc1)N1N=C(c2cc[n+]([O-])cc2)CC1c1ccc(F)cc1,110.0,active
CHEMBL3973610,CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1,410.0,active
CHEMBL3964030,CS(=O)(=O)c1ccc(C2CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,40.0,active
CHEMBL3919508,CS(=O)(=O)c1ccc(C2CC(c3ccncc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,410.0,active
CHEMBL3947301,O=C(Nc1ccc(F)cc1)N1N=C(c2ccccc2)CC1(CO)c1ccc(F)cc1,70.0,active
CHEMBL3946972,O=C(Nc1ccc(F)cc1)N1N=C(c2ccccc2)CC1(CCO)c1ccccc1,120.0,active
CHEMBL3969496,COCCOc1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,60.0,active
CHEMBL3938181,CN(C)CCOc1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,5300.0,intermediate
CHEMBL3910259,Cc1ccc(C2(CCO)CC(c3ccncc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,330.0,active
CHEMBL3966824,COc1ccc(C2=NN(C(=O)Nc3ccc(Cl)cc3)[C@](CCO)(c3cccnc3)C2)cc1,55.0,active
CHEMBL3937064,CS(=O)(=O)c1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,420.0,active
CHEMBL3898970,COc1ccc(C2(CCO)CC(c3cccnc3)=NN2C(=O)Nc2ccc(Br)cc2)cc1,140.0,active
